Horse trot, 24 minutes, E
Elephant ride, 52 minutes, NW
Walk, 23 minutes, SW
Horse trot, 18 minutes, N
Elephant ride, 33 minutes, W
Run, 45 minutes, NW
Horse gallop, 6 minutes, E
Elephant ride, 1 hour 9 minutes, NW
Horse gallop, 10 hours 31 minutes, SW
Walk, 10 minutes, SE
Horse gallop, 10 hours 19 minutes, NE
Horse trot, 10 hours 53 minutes, SE
Walk, 43 minutes, S
Elephant ride, 54 minutes, N
Horse trot, 24 minutes, W
Horse trot, 42 minutes, SE
Horse gallop, 2 hours 53 minutes, SE
Horse trot, 3 minutes, SE
Elephant ride, 24 minutes, S
Horse gallop, 39 minutes, NW
Elephant ride, 41 minutes, S
Horse trot, 21 minutes, SW
Horse trot, 41 minutes, NE
Run, 5 minutes, SE
Horse gallop, 57 minutes, SW
Horse gallop, 5 hours 3 minutes, SW
Walk, 7 hours, NW
Horse gallop, 9 minutes, SW
Horse trot, 1 hour 36 minutes, NW
Elephant ride, 6 hours 40 minutes, SE
Horse trot, 54 minutes, S
Elephant ride, 3 hours 58 minutes, W
Horse trot, 39 minutes, NE
Run, 57 minutes, NE
Elephant ride, 36 minutes, SE
Horse gallop, 56 minutes, N
Elephant ride, 3 hours 59 minutes, W
Run, 18 minutes, W
Elephant ride, 39 minutes, N
Elephant ride, 9 hours 19 minutes, E
Horse gallop, 6 hours 45 minutes, N
Elephant ride, 4 hours 16 minutes, N
Run, 6 hours 14 minutes, W
Horse gallop, 1 hour 52 minutes, NW
Horse trot, 46 minutes, SE
Horse trot, 5 hours 3 minutes, E
Walk, 6 hours 12 minutes, SW
Elephant ride, 8 hours 59 minutes, NW
Elephant ride, 3 minutes, SE
Horse gallop, 5 minutes, W
Horse trot, 1 hour 6 minutes, SW
Walk, 1 minute, W
Walk, 8 hours 8 minutes, NW
Run, 6 minutes, E
Horse trot, 14 minutes, NE
Walk, 1 hour, SE
Horse gallop, 7 minutes, W
Horse trot, 6 hours 59 minutes, W
Run, 10 hours 37 minutes, NW
Run, 39 minutes, SW
Walk, 1 hour 14 minutes, N
Horse gallop, 36 minutes, N
Horse trot, 7 minutes, N
Run, 7 hours 37 minutes, SW
Horse trot, 1 hour 52 minutes, S
Walk, 51 minutes, NE
Run, 53 minutes, NW
Horse trot, 7 hours 35 minutes, NW
Elephant ride, 12 minutes, NW
Elephant ride, 50 minutes, NE
Horse trot, 3 hours 17 minutes, NE
Walk, 1 hour 22 minutes, SW
Horse gallop, 3 hours 51 minutes, SE
Run, 9 hours 26 minutes, S
Run, 3 hours 40 minutes, SW
Elephant ride, 5 hours 42 minutes, W
Horse trot, 18 minutes, S
Horse gallop, 8 hours 15 minutes, W
Horse gallop, 26 minutes, NE
Run, 10 hours 40 minutes, SE
Run, 47 minutes, NW
Horse trot, 3 hours 42 minutes, N
Elephant ride, 3 hours 56 minutes, SE
Horse trot, 2 hours 53 minutes, SE
Run, 1 hour 46 minutes, NW
Horse gallop, 18 minutes, S
Run, 1 hour 10 minutes, NW
Horse trot, 54 minutes, S
Horse trot, 4 hours, E
Horse gallop, 7 hours 18 minutes, W
Elephant ride, 26 minutes, W
Horse trot, 7 hours 47 minutes, NE
Horse trot, 38 minutes, N
Run, 7 hours 46 minutes, S
Elephant ride, 5 hours 52 minutes, S
Elephant ride, 2 hours 13 minutes, SW
Run, 46 minutes, SW
Elephant ride, 8 hours 29 minutes, SE
Horse gallop, 6 hours 36 minutes, NE
Elephant ride, 3 hours 20 minutes, NW
Horse trot, 1 hour 43 minutes, SE
Elephant ride, 39 minutes, SW
Walk, 5 hours 28 minutes, NW
Elephant ride, 55 minutes, E
Horse gallop, 4 hours 8 minutes, S
Walk, 7 hours 37 minutes, SW
Walk, 7 hours 41 minutes, NE
Run, 6 hours 18 minutes, SE
Walk, 52 minutes, NE
Horse gallop, 6 hours 3 minutes, SW
Horse trot, 7 hours, NW
Horse trot, 57 minutes, S
Horse trot, 3 hours 33 minutes, SW
Walk, 6 hours 53 minutes, N
Walk, 19 minutes, W
Walk, 3 hours 54 minutes, NW
Walk, 8 minutes, S
Walk, 7 hours 34 minutes, SW
Elephant ride, 3 minutes, SW
Horse trot, 47 minutes, NE
Horse trot, 37 minutes, S
Elephant ride, 36 minutes, E
Elephant ride, 6 hours 30 minutes, E
Walk, 53 minutes, W
Elephant ride, 31 minutes, NE
Horse gallop, 43 minutes, SW
Elephant ride, 4 hours 56 minutes, W
Horse trot, 1 hour 39 minutes, SE
Run, 4 hours 32 minutes, NE
Horse trot, 1 hour 46 minutes, SE
Walk, 6 hours 1 minute, E
Walk, 4 hours 28 minutes, NE
Run, 47 minutes, N
Elephant ride, 17 minutes, SE
Horse gallop, 3 hours 25 minutes, SW
Elephant ride, 42 minutes, NE
Elephant ride, 5 hours 59 minutes, SW
Horse trot, 2 hours 43 minutes, NE
Horse trot, 24 minutes, E
Horse trot, 7 hours 57 minutes, SE
Run, 54 minutes, SW
Walk, 1 hour 9 minutes, E
Walk, 17 minutes, SE
Elephant ride, 9 minutes, E
Horse trot, 52 minutes, NE
Walk, 8 hours, SW
Walk, 5 hours, NE
Walk, 36 minutes, S
Walk, 1 hour 53 minutes, N
Run, 23 minutes, N
Horse gallop, 9 minutes, S
Horse trot, 6 hours 36 minutes, NW
Horse trot, 10 hours 7 minutes, NW
Elephant ride, 10 hours 27 minutes, NE
Run, 10 hours 15 minutes, E
Horse gallop, 6 hours 32 minutes, SE
Horse trot, 6 hours 32 minutes, SW
Horse gallop, 10 hours 43 minutes, NE
Walk, 54 minutes, N
Horse gallop, 5 hours 45 minutes, W
Elephant ride, 42 minutes, N
Horse trot, 51 minutes, SW
Run, 12 minutes, E
Elephant ride, 45 minutes, NE
Horse trot, 4 hours 47 minutes, SE
Horse trot, 29 minutes, NE
Horse gallop, 29 minutes, NW
Run, 5 hours 31 minutes, N
Horse trot, 44 minutes, NW
Walk, 51 minutes, N
Elephant ride, 6 hours 46 minutes, W
Run, 42 minutes, W
Horse trot, 5 hours 26 minutes, N
Horse trot, 26 minutes, NW
Run, 3 hours 52 minutes, E
Horse gallop, 39 minutes, W
Elephant ride, 8 hours 36 minutes, NE
Horse trot, 3 hours 4 minutes, N
Walk, 6 hours 52 minutes, SE
Run, 16 minutes, SW
Horse gallop, 34 minutes, E
Run, 41 minutes, NE
Run, 55 minutes, SE
Walk, 4 hours 4 minutes, SW
Run, 1 hour 33 minutes, SW
Walk, 4 hours 48 minutes, SW
Horse gallop, 24 minutes, N
Horse trot, 8 hours 51 minutes, SE
Horse trot, 22 minutes, W
Horse trot, 4 minutes, SE
Run, 20 minutes, S
Horse trot, 8 hours 32 minutes, N
Horse gallop, 10 hours 28 minutes, N
Walk, 10 hours 21 minutes, N
Elephant ride, 11 minutes, E
Horse gallop, 23 minutes, W
Elephant ride, 3 hours 55 minutes, N
Elephant ride, 1 hour 47 minutes, S
Horse trot, 5 hours 37 minutes, NW
Run, 26 minutes, NE
Elephant ride, 58 minutes, SE
Elephant ride, 3 hours 30 minutes, SW
Horse gallop, 4 hours 49 minutes, SW
Elephant ride, 6 hours 10 minutes, SE
Elephant ride, 6 hours 24 minutes, S
Elephant ride, 3 hours 30 minutes, E
Horse trot, 25 minutes, S
Elephant ride, 57 minutes, E
Run, 40 minutes, N
Walk, 8 hours 47 minutes, N
Elephant ride, 6 hours 45 minutes, SW
Run, 2 minutes, W
Walk, 36 minutes, NW
Horse trot, 2 minutes, W
Walk, 10 hours 6 minutes, N
Elephant ride, 2 hours 40 minutes, S
Walk, 41 minutes, E
Walk, 6 hours 42 minutes, NE
Elephant ride, 26 minutes, N
Horse gallop, 6 hours 7 minutes, N
Elephant ride, 6 hours 13 minutes, N
Horse gallop, 10 hours 19 minutes, NE
Run, 10 hours 32 minutes, N
Walk, 17 minutes, NW
Elephant ride, 33 minutes, W
Elephant ride, 1 hour 59 minutes, NE
Elephant ride, 10 minutes, N
Walk, 9 hours 15 minutes, N
Horse trot, 8 hours 17 minutes, E
Horse gallop, 1 hour 48 minutes, S
Walk, 3 hours 11 minutes, NE
Run, 34 minutes, S
Horse gallop, 3 minutes, NW
Run, 39 minutes, N
Elephant ride, 9 minutes, SE
Horse gallop, 4 hours 26 minutes, NE
Elephant ride, 7 hours 56 minutes, E
Horse gallop, 28 minutes, W
Horse trot, 3 hours 59 minutes, NE
Horse gallop, 2 hours 10 minutes, SW
Elephant ride, 37 minutes, NE
Walk, 13 minutes, NE
Elephant ride, 5 minutes, N
Horse trot, 56 minutes, N
Run, 32 minutes, NW
Horse gallop, 6 minutes, NW
Horse trot, 5 hours 36 minutes, SW
Elephant ride, 4 hours 26 minutes, N
Run, 9 minutes, E
Run, 1 hour 16 minutes, W
Run, 8 hours 29 minutes, NE
Walk, 19 minutes, E
Elephant ride, 1 hour 28 minutes, E
Horse gallop, 10 hours 23 minutes, E
Walk, 10 hours 34 minutes, SW
Horse gallop, 5 hours 13 minutes, S
Horse trot, 2 hours 56 minutes, E
Elephant ride, 10 hours 13 minutes, NW
Run, 38 minutes, W
Elephant ride, 1 minute, S
Elephant ride, 5 hours 25 minutes, N
Elephant ride, 15 minutes, S
Elephant ride, 34 minutes, SW
Run, 9 hours 58 minutes, N
Walk, 48 minutes, N
Elephant ride, 4 hours 5 minutes, N
Walk, 4 hours 6 minutes, S
Elephant ride, 7 hours 37 minutes, SE
Run, 34 minutes, E
Walk, 8 hours 48 minutes, SE
Horse gallop, 23 minutes, N
Horse trot, 21 minutes, NE
Walk, 49 minutes, NW
Horse trot, 26 minutes, SW
Run, 52 minutes, W
Elephant ride, 1 hour 14 minutes, W
Elephant ride, 2 hours 20 minutes, SE
Horse trot, 3 hours 39 minutes, W
Walk, 5 hours 58 minutes, SE
Horse gallop, 20 minutes, NW
Walk, 10 minutes, W
Walk, 6 hours 50 minutes, W
Walk, 9 hours 53 minutes, SW
Walk, 2 hours 33 minutes, SE
Horse trot, 7 minutes, NE
Horse trot, 48 minutes, SE
Walk, 20 minutes, SW
Walk, 1 minute, NE
Elephant ride, 4 hours 31 minutes, NE
Elephant ride, 41 minutes, NW
Horse trot, 7 hours 55 minutes, N
Walk, 5 hours 20 minutes, NW
Run, 7 hours 40 minutes, SE
Horse trot, 10 hours 30 minutes, SE
Horse gallop, 8 hours 1 minute, NW
Horse gallop, 37 minutes, NW
Horse trot, 4 hours 37 minutes, N
Horse trot, 8 hours 44 minutes, SE
Run, 39 minutes, SE
Horse trot, 3 hours 49 minutes, W
Elephant ride, 5 hours 32 minutes, NE
Horse gallop, 1 minute, SW
Horse gallop, 5 hours 19 minutes, SE
Walk, 6 hours 58 minutes, SE
Walk, 43 minutes, SE
Run, 52 minutes, SE
Walk, 41 minutes, S
Run, 4 hours 31 minutes, W
Elephant ride, 55 minutes, E
Elephant ride, 57 minutes, SE
Elephant ride, 10 hours 8 minutes, W
Horse trot, 8 hours 57 minutes, SW
Walk, 7 hours 38 minutes, W
Horse trot, 36 minutes, W
Horse trot, 54 minutes, N
Walk, 29 minutes, NE
Run, 1 hour 58 minutes, W
Walk, 5 hours 55 minutes, W
Horse gallop, 7 hours 5 minutes, SW
Horse gallop, 6 hours, SW
Walk, 2 hours 35 minutes, W
Horse trot, 1 hour 32 minutes, NE
Elephant ride, 4 minutes, NW
Horse gallop, 6 hours, E
Horse trot, 9 hours 17 minutes, SW
Run, 1 minute, NE
Elephant ride, 6 hours 46 minutes, N
Run, 15 minutes, SW
Elephant ride, 44 minutes, NE
Horse trot, 16 minutes, SW
Horse trot, 43 minutes, N
Elephant ride, 5 minutes, NW
Run, 34 minutes, NW
Horse gallop, 10 hours 36 minutes, W
Elephant ride, 37 minutes, NE
Run, 58 minutes, E
Elephant ride, 4 hours 25 minutes, S
Elephant ride, 2 hours 30 minutes, W
Run, 29 minutes, SW
Horse gallop, 29 minutes, SE
Run, 10 hours 1 minute, NE
Horse trot, 8 hours 18 minutes, NE
Horse gallop, 56 minutes, SE
Run, 10 hours 41 minutes, NE
Horse gallop, 2 hours 53 minutes, S
Run, 5 hours 42 minutes, SW
Elephant ride, 35 minutes, SE
Elephant ride, 22 minutes, N
Walk, 10 hours 8 minutes, E
Elephant ride, 6 hours 50 minutes, N
Walk, 38 minutes, SW
Run, 4 hours 18 minutes, SE
Elephant ride, 9 hours 30 minutes, S
Horse trot, 1 hour 32 minutes, W
Walk, 26 minutes, NE
Walk, 4 minutes, N
Walk, 50 minutes, SE
Walk, 27 minutes, NW
Walk, 3 hours 18 minutes, NW
Horse trot, 7 hours 18 minutes, NE
Horse gallop, 7 hours 14 minutes, N
Horse gallop, 7 hours 41 minutes, E
Elephant ride, 8 hours 22 minutes, W
Horse trot, 5 hours 42 minutes, SW
Walk, 1 minute, E
Walk, 37 minutes, N
Horse gallop, 4 hours 59 minutes, NE
Walk, 15 minutes, S
Run, 47 minutes, SE
Walk, 10 minutes, SE
Horse gallop, 2 hours 42 minutes, S
Elephant ride, 1 hour 14 minutes, NW
Horse gallop, 4 hours 15 minutes, NW
Horse gallop, 5 hours 27 minutes, N
Elephant ride, 7 minutes, E
Walk, 5 minutes, S
Horse gallop, 3 hours 43 minutes, SE
Horse gallop, 55 minutes, S
Walk, 1 hour 53 minutes, SE
Elephant ride, 49 minutes, NE
Elephant ride, 16 minutes, NE
Horse trot, 5 hours 11 minutes, W
Horse gallop, 39 minutes, SE
Walk, 24 minutes, W
Walk, 22 minutes, SW
Walk, 7 hours 54 minutes, N
Run, 45 minutes, S
Walk, 8 hours 41 minutes, W
Horse gallop, 24 minutes, NW
Horse gallop, 37 minutes, SE
Walk, 9 hours 53 minutes, NW
Elephant ride, 37 minutes, N
Run, 52 minutes, W
Run, 12 minutes, NE
Run, 5 hours 17 minutes, E
Walk, 17 minutes, W
Walk, 43 minutes, NE
Horse gallop, 52 minutes, SE
Horse trot, 44 minutes, NW
Walk, 23 minutes, E
Horse trot, 10 hours 26 minutes, SW
Walk, 46 minutes, SE
Elephant ride, 4 hours 7 minutes, SE
Run, 29 minutes, NW
Horse gallop, 26 minutes, NW
Run, 2 hours 16 minutes, SW
Elephant ride, 8 hours 34 minutes, SW
Horse gallop, 5 hours 50 minutes, E
Run, 8 hours 13 minutes, E
Elephant ride, 9 hours 48 minutes, NE
Run, 46 minutes, S
Run, 56 minutes, W
Run, 25 minutes, SW
Horse gallop, 4 hours 32 minutes, N
Horse trot, 10 hours 14 minutes, N
Horse gallop, 18 minutes, N
Horse trot, 2 hours 41 minutes, SE
Walk, 27 minutes, NE
Elephant ride, 39 minutes, N
Horse gallop, 10 hours 19 minutes, E
Horse trot, 22 minutes, S
Horse trot, 4 hours 1 minute, SW
Run, 1 hour 59 minutes, E
Walk, 2 hours 51 minutes, SW
Horse trot, 14 minutes, W
Horse gallop, 40 minutes, NW
Run, 2 hours 21 minutes, SE
Walk, 37 minutes, SE
Run, 1 hour 2 minutes, SW
Elephant ride, 3 hours 33 minutes, NW
Elephant ride, 48 minutes, N
Walk, 48 minutes, S
Horse trot, 3 hours 5 minutes, S
Horse trot, 40 minutes, SE
Horse gallop, 22 minutes, N
Horse gallop, 49 minutes, SE
Horse trot, 9 hours 9 minutes, E
Walk, 4 hours, W
Horse gallop, 9 hours 59 minutes, W
Horse gallop, 2 hours 33 minutes, N
Run, 7 hours 51 minutes, SW
Walk, 6 hours 35 minutes, SE
Horse gallop, 5 minutes, W
Elephant ride, 2 hours 35 minutes, NE
Walk, 10 minutes, E
Run, 4 hours 4 minutes, E
Walk, 56 minutes, NE
Horse trot, 8 hours 27 minutes, SE
Horse trot, 7 hours 25 minutes, S
Horse trot, 3 hours 23 minutes, W
Walk, 4 hours 23 minutes, SE
Elephant ride, 8 hours 32 minutes, NE
Horse trot, 33 minutes, SE
Horse trot, 8 hours 15 minutes, SW
Walk, 2 hours 19 minutes, E
Horse trot, 10 hours 58 minutes, W
Horse gallop, 10 hours 13 minutes, S
Elephant ride, 4 hours 30 minutes, NW
Horse gallop, 26 minutes, N
Elephant ride, 28 minutes, S
Horse trot, 36 minutes, SE
Walk, 13 minutes, E
Run, 5 hours 9 minutes, S
Horse trot, 27 minutes, SW
Walk, 32 minutes, NE
Walk, 26 minutes, N
Horse gallop, 2 hours 56 minutes, W
Horse trot, 10 hours 29 minutes, NE
Elephant ride, 26 minutes, NW
Horse gallop, 8 hours 30 minutes, S
Walk, 2 hours 56 minutes, W
Horse gallop, 26 minutes, SW
Elephant ride, 8 hours 54 minutes, N
Horse trot, 29 minutes, NE
Horse trot, 31 minutes, NE
Horse gallop, 10 hours 46 minutes, E
Run, 48 minutes, W
Run, 5 minutes, SE
Elephant ride, 4 hours 44 minutes, S
Elephant ride, 3 hours 24 minutes, NE
Walk, 32 minutes, NE
Run, 9 hours 15 minutes, SE
Walk, 48 minutes, SE
Walk, 21 minutes, NE
Horse gallop, 20 minutes, W
Elephant ride, 10 hours 13 minutes, W
Walk, 9 hours 9 minutes, SE
Walk, 1 hour 22 minutes, N
Elephant ride, 8 minutes, N
Horse gallop, 52 minutes, W
Horse trot, 3 hours 39 minutes, N
Run, 40 minutes, NW
Elephant ride, 9 hours 2 minutes, NW
Horse gallop, 1 hour 40 minutes, E
Horse gallop, 8 hours 48 minutes, E
Horse gallop, 6 hours 20 minutes, NE
Walk, 9 hours 16 minutes, W
Horse trot, 1 hour 42 minutes, S
Horse gallop, 20 minutes, NE
Walk, 23 minutes, S
Horse trot, 1 hour 26 minutes, SE
Run, 26 minutes, W
Horse trot, 42 minutes, NE
Elephant ride, 10 hours 23 minutes, SW
Walk, 8 minutes, NW
Walk, 7 hours 8 minutes, N
Horse gallop, 48 minutes, N
Run, 48 minutes, N
Run, 16 minutes, NW
Walk, 4 hours 11 minutes, NE
Horse gallop, 42 minutes, SW
Elephant ride, 36 minutes, W
Horse trot, 7 hours 14 minutes, SW
Walk, 28 minutes, SE
Run, 9 hours 44 minutes, E
Walk, 2 hours 23 minutes, E
Walk, 34 minutes, NE
Horse trot, 41 minutes, SE
Elephant ride, 2 hours 47 minutes, N
Walk, 9 hours 3 minutes, SE
Elephant ride, 1 hour 23 minutes, SE
Horse trot, 53 minutes, NW
Horse gallop, 10 minutes, N
Horse gallop, 47 minutes, N
Walk, 8 hours 18 minutes, S
Walk, 9 hours 4 minutes, E
Run, 1 hour 5 minutes, SW
Walk, 2 hours 55 minutes, SE
Horse gallop, 2 minutes, NW
Run, 23 minutes, E
Run, 9 hours 44 minutes, W
Walk, 3 hours 56 minutes, SW
Horse gallop, 2 minutes, NW
Horse trot, 32 minutes, SW
Run, 3 hours 29 minutes, SW
Elephant ride, 52 minutes, W
Horse trot, 7 minutes, W
Run, 5 hours 13 minutes, N
Horse gallop, 26 minutes, SE
Walk, 49 minutes, NW
Horse trot, 1 hour 29 minutes, NE
Horse gallop, 39 minutes, SW
Horse gallop, 52 minutes, SW
Run, 6 hours 49 minutes, SW
Horse trot, 5 hours 48 minutes, S
Run, 5 hours 4 minutes, NE
Run, 27 minutes, N
Horse trot, 5 hours 58 minutes, S
Elephant ride, 4 hours 33 minutes, SW
Elephant ride, 3 minutes, S
Horse trot, 6 hours 15 minutes, NW
Horse trot, 5 hours 55 minutes, W
Elephant ride, 29 minutes, E
Horse gallop, 7 hours 18 minutes, NW
Horse trot, 5 hours 6 minutes, N
Horse trot, 6 hours 24 minutes, N
Run, 50 minutes, S
Horse gallop, 2 hours 21 minutes, E
Horse gallop, 50 minutes, SE
Horse gallop, 49 minutes, N
Horse gallop, 8 hours 31 minutes, NW
Run, 4 hours 39 minutes, E
Horse gallop, 3 minutes, NW
Walk, 9 hours 54 minutes, SE
Walk, 10 minutes, NE
Walk, 30 minutes, NE
Horse trot, 8 hours 1 minute, SW
Run, 2 hours, S
Horse gallop, 6 hours 41 minutes, E
Horse gallop, 6 hours 3 minutes, SE
Horse gallop, 49 minutes, SW
Run, 17 minutes, N
Horse trot, 26 minutes, SW
Horse gallop, 22 minutes, SE
Walk, 1 hour 40 minutes, E
Elephant ride, 10 hours 29 minutes, NE
Run, 21 minutes, SE
Elephant ride, 7 hours 40 minutes, W
Run, 2 hours 29 minutes, SW
Horse gallop, 4 hours 52 minutes, W
Walk, 5 hours 40 minutes, N
Elephant ride, 38 minutes, NE
Walk, 3 hours 56 minutes, NW
Horse trot, 51 minutes, N
Run, 5 hours 17 minutes, NW
Run, 17 minutes, SW
Run, 5 hours, NE
Horse trot, 3 hours 23 minutes, E
Run, 2 minutes, S
Horse trot, 6 hours 54 minutes, SE
Horse gallop, 23 minutes, SE
Elephant ride, 2 hours 8 minutes, NW
Walk, 12 minutes, SW
Walk, 2 hours 32 minutes, NE
Elephant ride, 9 hours 44 minutes, NW
Horse gallop, 40 minutes, NE
Run, 8 minutes, W
Run, 36 minutes, W
Elephant ride, 10 hours 13 minutes, NE
Horse trot, 20 minutes, NW
Horse gallop, 10 hours 18 minutes, SE
Walk, 6 minutes, NW
Horse gallop, 2 hours, S
Horse trot, 2 hours 36 minutes, N
Elephant ride, 3 hours 33 minutes, S
Elephant ride, 45 minutes, SW
Horse trot, 46 minutes, N
Elephant ride, 29 minutes, SW
Horse gallop, 7 hours 28 minutes, SW
Horse gallop, 21 minutes, SE
Elephant ride, 38 minutes, NW
Run, 25 minutes, NW
Walk, 1 hour 24 minutes, NE
Walk, 52 minutes, SE
Walk, 5 hours 53 minutes, N
Horse trot, 34 minutes, NW
Walk, 4 hours 39 minutes, N
Horse trot, 54 minutes, E
Horse trot, 3 hours 42 minutes, W
Horse trot, 1 hour 42 minutes, E
Horse gallop, 6 hours 18 minutes, SW
Horse gallop, 14 minutes, S
Elephant ride, 4 hours 33 minutes, NE
Horse trot, 7 hours 8 minutes, NW
Horse trot, 53 minutes, SE
Run, 8 hours 30 minutes, S
Run, 3 hours 30 minutes, SW
Elephant ride, 56 minutes, E
Run, 10 hours 18 minutes, NW
Elephant ride, 32 minutes, N
Walk, 58 minutes, NE
Horse trot, 6 hours 2 minutes, W
Walk, 10 hours 41 minutes, W
Horse trot, 4 hours 15 minutes, SE
Elephant ride, 10 hours 22 minutes, S
Walk, 24 minutes, SE
Horse gallop, 8 minutes, SW
Run, 14 minutes, NE
Run, 55 minutes, E
Horse gallop, 54 minutes, N
Horse gallop, 2 hours 50 minutes, N
Walk, 10 hours 50 minutes, SW
Run, 8 hours 56 minutes, S
Run, 1 hour 20 minutes, NW
Walk, 1 hour 25 minutes, SE
Walk, 9 hours 36 minutes, E
Horse trot, 1 hour 19 minutes, SE
Walk, 6 hours 21 minutes, W
Horse gallop, 57 minutes, NW
Walk, 9 hours 9 minutes, SE
Elephant ride, 47 minutes, SE
Horse trot, 41 minutes, N
Elephant ride, 5 minutes, NW
Walk, 2 hours 3 minutes, NE
Horse trot, 2 hours, SW
Run, 1 minute, W
Elephant ride, 10 hours 46 minutes, W
Walk, 9 minutes, SE
Elephant ride, 35 minutes, NW
Horse trot, 34 minutes, SW
Elephant ride, 1 hour, S
Walk, 13 minutes, SE
Horse gallop, 7 hours 8 minutes, NW
Horse trot, 4 hours 41 minutes, E
Walk, 2 hours 31 minutes, W
Walk, 7 hours 35 minutes, NE
Horse gallop, 40 minutes, SW
Horse trot, 15 minutes, NW
Horse trot, 8 hours 38 minutes, NW
Horse gallop, 24 minutes, SE
Horse gallop, 9 hours 27 minutes, E
Horse trot, 3 hours 32 minutes, SW
Horse trot, 5 minutes, E
Walk, 28 minutes, S
Horse gallop, 1 hour 2 minutes, W
Elephant ride, 35 minutes, NW
Run, 1 minute, W
Horse trot, 27 minutes, NE
Horse gallop, 8 hours 32 minutes, W
Walk, 48 minutes, SW
Horse trot, 49 minutes, E
Elephant ride, 6 hours 33 minutes, W
Horse gallop, 1 minute, E
Horse trot, 54 minutes, S
Walk, 6 hours 47 minutes, NW
Horse trot, 41 minutes, SW
Elephant ride, 41 minutes, W
Horse trot, 10 hours 17 minutes, SW
Horse trot, 7 hours 31 minutes, W
Elephant ride, 3 hours 58 minutes, E
Horse gallop, 49 minutes, SW
Horse gallop, 58 minutes, W
Walk, 13 minutes, SE
Run, 10 hours 26 minutes, NW
Elephant ride, 38 minutes, W
Horse trot, 7 hours 45 minutes, E
Walk, 6 hours 55 minutes, E
Elephant ride, 22 minutes, NW
Elephant ride, 35 minutes, SW
Horse trot, 7 hours 26 minutes, N
Walk, 8 hours 56 minutes, NW
Walk, 10 hours 58 minutes, W
Run, 35 minutes, E
Horse trot, 14 minutes, NW
Horse trot, 5 minutes, SE
Horse trot, 3 hours 45 minutes, SW
Elephant ride, 51 minutes, N
Horse trot, 29 minutes, SW
Run, 1 hour 53 minutes, S
Elephant ride, 29 minutes, E
Horse trot, 10 hours 50 minutes, W
Horse gallop, 47 minutes, W
Horse gallop, 2 hours 40 minutes, W
Run, 4 hours 48 minutes, E
Horse gallop, 45 minutes, NW
Elephant ride, 1 hour 55 minutes, SW
Run, 57 minutes, W
Horse gallop, 13 minutes, N
Horse gallop, 2 minutes, S
Run, 27 minutes, NW
Elephant ride, 4 hours 49 minutes, W
Horse trot, 4 hours 35 minutes, NE
Run, 8 hours 12 minutes, NE
Horse gallop, 26 minutes, W
Walk, 31 minutes, E
Horse gallop, 48 minutes, N
Elephant ride, 14 minutes, N
Horse trot, 9 hours 41 minutes, NE
Run, 4 hours 30 minutes, SW
Run, 8 hours 44 minutes, E
Horse trot, 31 minutes, SE
Horse trot, 47 minutes, NE
Run, 7 hours 13 minutes, SW
Horse trot, 39 minutes, NW
Horse gallop, 39 minutes, E
Walk, 4 hours 58 minutes, SW
Horse trot, 8 hours 53 minutes, E
Elephant ride, 2 hours 23 minutes, E
Horse trot, 4 hours 30 minutes, W
Walk, 26 minutes, E
Horse gallop, 6 hours 17 minutes, NE
Elephant ride, 10 hours 40 minutes, NW
